objective,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,random_state,r2_fold,mse_fold,accuracy_fold,precision_fold,recall_fold,f1_fold,auc_fold,mse_test,r2_test,accuracy_test,precision_test,recall_test,f1_test,auc_test,mean_r2
reg:squarederror,117,0.05231557104824486,4,0.9498557865423555,0.8596915859230706,1,0.06513962556537517,42,0.4185370595822924,0.0605294139617981,0.7642397226349678,0.7533398497018114,0.7233215358215358,0.7375708274255022,0.8331519536561488,0.05023512358953242,0.514350740498037,0.793939393939394,0.7906137184115524,0.7373737373737373,0.7630662020905923,0.8857444973147451,0.4185370595822924
reg:squarederror,97,0.06460930896689926,5,0.933464056102354,0.8233235940093027,4,0.026701786914859863,42,0.4263630832310681,0.059703278530599944,0.7677067855373947,0.7586351556939791,0.7257078507078507,0.7411321697292302,0.8384552667078503,0.05052665711480509,0.5115323331656387,0.7924242424242425,0.7898550724637681,0.734006734006734,0.7609075043630017,0.8829154724471528,0.4263630832310681
reg:squarederror,109,0.10488961069282406,4,0.9656764539731766,0.8631207078277483,3,0.0896691762024883,42,0.4239446853604045,0.059942043572774974,0.7607726597325408,0.7517435011297001,0.7149828399828401,0.7322438401363236,0.8361611317139301,0.05067241368714593,0.5101232280143653,0.8015151515151515,0.7964285714285714,0.7508417508417509,0.7729636048526863,0.8866534954689225,0.4239446853604045
reg:squarederror,105,0.0829324221238207,4,0.918620036051265,0.8255940571756128,2,0.03937782763244647,42,0.42293033308295575,0.060038467455580107,0.7642397226349678,0.7535490857638508,0.7237237237237237,0.7380210342281189,0.8360512775738398,0.05062619902694754,0.5105700093478177,0.796969696969697,0.7900355871886121,0.7474747474747475,0.7681660899653979,0.8844644795058018,0.42293033308295575
reg:squarederror,110,0.07767351618689824,5,0.9421829781838399,0.8155093065480693,1,0.05551732472473499,42,0.41718208759295705,0.060674255347730875,0.7612679544328875,0.7558712704067219,0.7105587730587731,0.7312389060682164,0.835623787775123,0.05042683679405472,0.5124973485053396,0.7909090909090909,0.7849462365591398,0.7373737373737373,0.7604166666666666,0.8840378069028207,0.41718208759295705
reg:squarederror,133,0.09235774915009148,5,0.8912377837750738,0.9988397407208125,5,0.06619396335894222,42,0.4059531929615973,0.06186527714093765,0.7553244180287271,0.7417890309407174,0.7183075933075932,0.728972354620471,0.831417440915548,0.050222927277883786,0.5144686486327757,0.8015151515151515,0.7881944444444444,0.7643097643097643,0.7760683760683761,0.8837966441272226,0.4059531929615973
reg:squarederror,92,0.0598274263460523,4,0.9966164077353219,0.8318977791922828,5,0.017822592316808022,42,0.4219719198204212,0.060163670934530976,0.763744427934621,0.7529856788780448,0.722463534963535,0.7366639824782425,0.835511618306052,0.05059327034999654,0.5108883481202731,0.7893939393939394,0.7821428571428571,0.7373737373737373,0.7590987868284229,0.8846963667900307,0.4219719198204212
reg:squarederror,98,0.06811747137816195,6,0.9267987819529231,0.8082313914928937,4,0.025965182695374428,42,0.412969878608154,0.06110076624982155,0.7563150074294205,0.7475360158966716,0.7100225225225225,0.7276242207136993,0.8306547952703177,0.052263560860828694,0.49474077463430244,0.7924242424242425,0.7941176470588235,0.7272727272727273,0.7592267135325131,0.8789919395980001,0.412969878608154
reg:squarederror,97,0.06345199372848417,5,0.9333931760906767,0.8511685370870549,4,0.0001457379410646567,42,0.41677804019874265,0.06070622286300114,0.7622585438335809,0.7564824882211459,0.7113363363363363,0.732592093082061,0.8329905614452325,0.0523225674838298,0.49417032669432415,0.7863636363636364,0.7910447761194029,0.7138047138047138,0.7504424778761062,0.8779067071078089,0.41677804019874265
reg:squarederror,150,0.12062130621480571,5,0.9073706303621447,0.8285484177184,4,0.042564330513181654,42,0.40003671064888785,0.06240619788264303,0.7553244180287271,0.741959977080281,0.7157067782067782,0.7283244473366746,0.8270897455769041,0.052163410702617624,0.4957089786855481,0.7909090909090909,0.7912087912087912,0.7272727272727273,0.7578947368421053,0.8770440864104775,0.40003671064888785
